organization,category,careers_page,verdict,reason,board
Cybernetica,Cybersecurity,https://cyber.ee/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Cyberoo,Cybersecurity,https://www.cyberoo.com/lavora-con-noi/,WORKING,"fine, but JavaScript-rendered — use --browser",
Cyberus Technology,Cybersecurity,https://www.cyberus-technology.de,WORKING,"fine, but JavaScript-rendered — use --browser",
Cymulate,Cybersecurity,https://cymulate.com/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
DCSO,Cybersecurity,https://dcso.de/karriere,BROKEN,"404 — URL is wrong, needs replacing",
DGS S.p.A.,Cybersecurity,https://www.dgsspa.com/lavora-con-noi/,BROKEN,"404 — URL is wrong, needs replacing",
Darktrace,Cybersecurity,https://www.darktrace.com/careers,WORKING,"fine, runs on workday (no connector yet)",
Davinsi Labs,Cybersecurity,https://www.davinsilabs.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Defence Tech Holding,Cybersecurity,https://www.defencetech.it/lavora-con-noi/,WORKING,"fine, but JavaScript-rendered — use --browser",
Detectify,Cybersecurity,https://detectify.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Doyensec,Cybersecurity,https://doyensec.com/careers.html,WORKING,"fine, but JavaScript-rendered — use --browser",
ERNW,Cybersecurity,https://ernw.de/en/karriere.html,BROKEN,"404 — URL is wrong, needs replacing",
ESET,Cybersecurity,https://www.eset.com/int/about/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Entelgy Innotec Security,Cybersecurity,https://www.entelgy.com/en/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Exprivia Cybersecurity,Cybersecurity,https://www.exprivia.com/it-it/careers.aspx,BROKEN,"404 — URL is wrong, needs replacing",
F-Secure,Cybersecurity,https://www.f-secure.com/en/careers,BROKEN,"404 — URL is wrong, needs replacing",
Forescout,Cybersecurity,https://www.forescout.com/company/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Fortinet,Cybersecurity,https://www.fortinet.com/careers,BROKEN,"404 — URL is wrong, needs replacing",
G DATA CyberDefense,Cybersecurity,https://www.gdata.de/karriere,WORKING,"fine, but JavaScript-rendered — use --browser",
Gatewatcher,Cybersecurity,https://www.gatewatcher.com/en/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Giesecke+Devrient,Cybersecurity,https://www.gi-de.com/en/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Google Threat Intelligence (Mandiant),Cybersecurity,https://www.google.com/about/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Gyala,Cybersecurity,https://www.gyala.it/careers,BROKEN,domain did not resolve (may be local DNS overload — recheck),
HN Security,Cybersecurity,https://security.humanativaspa.it,SUSPECT,TLS certificate misconfigured,
HWG Sababa,Cybersecurity,https://www.hwgsababa.com/careers/,BROKEN,connection refused,
Hack The Box,Cybersecurity,https://www.hackthebox.com/careers,BROKEN,"404 — URL is wrong, needs replacing",
HarfangLab,Cybersecurity,https://harfanglab.io/en/careers/,WORKING,"403 to a script, but fine in a browser",
Hermes Bay,Cybersecurity,https://www.hermesbay.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Hunt & Hackett,Cybersecurity,https://www.huntandhackett.com/careers,BROKEN,"404 — URL is wrong, needs replacing",
ID Quantique,Cybersecurity,https://www.idquantique.com/company/careers/,WORKING,"403 to a script, but fine in a browser",
Idemia,Cybersecurity,https://www.idemia.com/careers,WORKING,"fine, runs on icims (no connector yet)",
Improsec,Cybersecurity,https://improsec.com/career,WORKING,"fine, runs on teamtailor (no connector yet)",
Intigriti,Cybersecurity,https://www.intigriti.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Kudelski Security,Cybersecurity,https://kudelskisecurity.com/careers/,BROKEN,"404 — URL is wrong, needs replacing",
Ledger,Cybersecurity,https://www.ledger.com/careers,BROKEN,"404 — URL is wrong, needs replacing",
Link11,Cybersecurity,https://www.link11.com/en/career/,WORKING,"fine, but JavaScript-rendered — use --browser",
Microsoft Security (MSTIC),Cybersecurity,https://careers.microsoft.com,WORKING,"fine, but JavaScript-rendered — use --browser",
NCC Group,Cybersecurity,https://www.nccgroup.com/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Nixu (DNV),Cybersecurity,https://www.nixu.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Northwave Cyber Security,Cybersecurity,https://northwave-cybersecurity.com/careers,BROKEN,"404 — URL is wrong, needs replacing",
ON2IT,Cybersecurity,https://on2it.net/careers/,WORKING,"fine, runs on recruitee (no connector yet)",
Omegapoint,Cybersecurity,https://www.omegapoint.se/karriar,BROKEN,"404 — URL is wrong, needs replacing",
Orange Cyberdefense,Cybersecurity,https://www.orangecyberdefense.com/global/careers,BROKEN,"404 — URL is wrong, needs replacing",
Outpost24,Cybersecurity,https://outpost24.com/careers/,WORKING,"403 to a script, but fine in a browser",
PQShield,Cybersecurity,https://pqshield.com/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Palo Alto Networks,Cybersecurity,https://jobs.paloaltonetworks.com,WORKING,"fine, runs on workday (no connector yet)",
Picus Security,Cybersecurity,https://www.picussecurity.com/careers,BROKEN,"404 — URL is wrong, needs replacing",
Prove & Run,Cybersecurity,https://www.provenrun.com/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Qualys,Cybersecurity,https://www.qualys.com/careers/,WORKING,"fine, runs on workday (no connector yet)",
Quarkslab,Cybersecurity,https://www.quarkslab.com/careers/,BROKEN,"404 — URL is wrong, needs replacing",
Rapid7,Cybersecurity,https://www.rapid7.com/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Recorded Future,Cybersecurity,https://www.recordedfuture.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Rohde & Schwarz Cybersecurity,Cybersecurity,https://www.rohde-schwarz.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
S2 Grupo,Cybersecurity,https://s2grupo.es/en/work-with-us/,BROKEN,"404 — URL is wrong, needs replacing",
SandboxAQ,Cybersecurity,https://www.sandboxaq.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Secura (Bureau Veritas),Cybersecurity,https://www.secura.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Sekoia.io,Cybersecurity,https://www.sekoia.io/en/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
SentinelOne,Cybersecurity,https://www.sentinelone.com/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Shielder,Cybersecurity,https://www.shielder.com/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Snyk,Cybersecurity,https://snyk.io/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Stormshield (Airbus),Cybersecurity,https://www.stormshield.com/company/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Synacktiv,Cybersecurity,https://www.synacktiv.com/en/careers,BROKEN,"404 — URL is wrong, needs replacing",
Tarlogic Security,Cybersecurity,https://www.tarlogic.com/careers/,BROKEN,"404 — URL is wrong, needs replacing",
Tehtris,Cybersecurity,https://tehtris.com/en/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Telefonica Tech,Cybersecurity,https://www.telefonica.com/en/talent/,WORKING,"fine, but JavaScript-rendered — use --browser",
Tesorion,Cybersecurity,https://www.tesorion.nl/vacatures/,WORKING,"fine, but JavaScript-rendered — use --browser",
Thales Cyber & Digital,Cybersecurity,https://careers.thalesgroup.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Thales Digital Identity & Security,Cybersecurity,https://careers.thalesgroup.com,WORKING,"fine, but JavaScript-rendered — use --browser",
"Tinexta Cyber (Swascan, Corvallis)",Cybersecurity,https://www.tinexta.com/it/careers,SUSPECT,TLS certificate misconfigured,
Trail of Bits,Cybersecurity,https://www.trailofbits.com/careers/,WORKING,"fine, runs on workable (no connector yet)",
Trellix,Cybersecurity,https://careers.trellix.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Truesec,Cybersecurity,https://www.truesec.com/careers,BROKEN,"404 — URL is wrong, needs replacing",
Ubiquity/Open Systems,Cybersecurity,https://www.open-systems.com/careers/,WORKING,"403 to a script, but fine in a browser",
Utimaco,Cybersecurity,https://utimaco.com/company/careers,BROKEN,"404 — URL is wrong, needs replacing",
Wallix,Cybersecurity,https://www.wallix.com/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
WithSecure,Cybersecurity,https://www.withsecure.com/en/about-us/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Wiz,Cybersecurity,https://www.wiz.io/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Yarix (Var Group),Cybersecurity,https://www.yarix.com/lavora-con-noi/,BROKEN,"404 — URL is wrong, needs replacing",
Yogosha,Cybersecurity,https://yogosha.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
ZITiS,Cybersecurity,https://www.zitis.bund.de/DE/Karriere,BROKEN,"404 — URL is wrong, needs replacing",
Zama,Cybersecurity,https://www.zama.ai/careers,BROKEN,"404 — URL is wrong, needs replacing",
Zerocopter,Cybersecurity,https://www.zerocopter.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Zscaler,Cybersecurity,https://www.zscaler.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
ARX Robotics,Defense Tech,https://arx-robotics.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Alpine Eagle,Defense Tech,https://alpine-eagle.com/career,BROKEN,"404 — URL is wrong, needs replacing",
Delian Alliance Industries,Defense Tech,https://delian.io/careers,BROKEN,"404 — URL is wrong, needs replacing",
Destinus,Defense Tech,https://destinus.ch/careers/,BROKEN,"404 — URL is wrong, needs replacing",
Donaustahl,Defense Tech,https://www.donaustahl.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Frankenburg Technologies,Defense Tech,https://frankenburg.tech,WORKING,"fine, but JavaScript-rendered — use --browser",
Milrem Robotics,Defense Tech,https://milrem.com/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Nordic Air Defence,Defense Tech,https://nordicairdefence.com/careers,BROKEN,"404 — URL is wrong, needs replacing",
Origin Robotics,Defense Tech,https://originrobotics.com/careers,BROKEN,"404 — URL is wrong, needs replacing",
Quantum Systems,Defense Tech,https://quantum-systems.com/career/,WORKING,"403 to a script, but fine in a browser",
Stark Defence,Defense Tech,https://stark-defence.com/careers,BROKEN,"404 — URL is wrong, needs replacing",
Swarm Biotactics,Defense Tech,https://swarmbiotactics.com,BROKEN,domain did not resolve (may be local DNS overload — recheck),
Tekever,Defense Tech,https://www.tekever.com/careers/,BROKEN,"404 — URL is wrong, needs replacing",
Tiberius Aerospace,Defense Tech,https://tiberiusaerospace.com,BROKEN,domain did not resolve (may be local DNS overload — recheck),
Tytan Technologies,Defense Tech,https://tytan-technologies.com,WORKING,"fine, runs on recruitee (no connector yet)",
Airbus Netherlands,Defense & Aerospace,https://www.airbus.com/en/careers,WORKING,"fine, runs on workday (no connector yet)",
Avio Aero (GE Aerospace),Defense & Aerospace,https://www.geaerospace.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Avio S.p.A.,Defense & Aerospace,https://www.avio.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
BAE Systems,Defense & Aerospace,https://www.baesystems.com/en/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
BAE Systems Hagglunds,Defense & Aerospace,https://www.baesystems.com/en/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Babcock International,Defense & Aerospace,https://www.babcockinternational.com/careers/,WORKING,"403 to a script, but fine in a browser",
Beretta Defence Technologies,Defense & Aerospace,https://www.beretta.com/en/careers,WORKING,"403 to a script, but fine in a browser",
Boeing,Defense & Aerospace,https://jobs.boeing.com,WORKING,"fine, runs on workday (no connector yet)",
CS Group,Defense & Aerospace,https://www.csgroup.eu/en/careers,WORKING,"fine, runs on smartrecruiters (no connector yet)",
Collins Aerospace,Defense & Aerospace,https://careers.rtx.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Czechoslovak Group (CSG),Defense & Aerospace,https://www.csgroup.cz/en/career/,BROKEN,connection refused,
Damen Shipyards,Defense & Aerospace,https://career.damen.com,WORKING,"fine, runs on workday (no connector yet)",
Dassault Aviation,Defense & Aerospace,https://www.dassault-aviation.com/en/group/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
Diehl Defence,Defense & Aerospace,https://www.diehl.com/group/en/career/,WORKING,"fine, but JavaScript-rendered — use --browser",
ESG Elektroniksystem,Defense & Aerospace,https://www.esg.de/en/career,WORKING,"fine, but JavaScript-rendered — use --browser",
Elbit Systems,Defense & Aerospace,https://elbitsystems.com/careers/,WORKING,"403 to a script, but fine in a browser",
Elettronica S.p.A.,Defense & Aerospace,https://www.elt.it/en/careers/,BROKEN,domain did not resolve (may be local DNS overload — recheck),
Exail Technologies,Defense & Aerospace,https://exail.com/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
FN Herstal,Defense & Aerospace,https://www.fnherstal.com/careers,BROKEN,"404 — URL is wrong, needs replacing",
Fincantieri,Defense & Aerospace,https://www.fincantieri.com/en/careers/,BROKEN,"404 — URL is wrong, needs replacing",
General Dynamics European Land Systems,Defense & Aerospace,https://www.gdels.com/careers.php,WORKING,"403 to a script, but fine in a browser",
Hanwha Europe,Defense & Aerospace,https://www.hanwha.com/en/careers.html,WORKING,"fine, but JavaScript-rendered — use --browser",
Hensoldt,Defense & Aerospace,https://www.hensoldt.net/career,WORKING,"fine, but JavaScript-rendered — use --browser",
IABG,Defense & Aerospace,https://www.iabg.de/en/career,BROKEN,"404 — URL is wrong, needs replacing",
Indra Sistemas,Defense & Aerospace,https://www.indracompany.com/en/talent,BROKEN,domain did not resolve (may be local DNS overload — recheck),
Israel Aerospace Industries,Defense & Aerospace,https://www.iai.co.il/careers,SUSPECT,HTTP 247,
Iveco Defence Vehicles,Defense & Aerospace,https://www.iveco-group.com/careers,BROKEN,"404 — URL is wrong, needs replacing",
John Cockerill Defense,Defense & Aerospace,https://johncockerill.com/en/careers/,WORKING,"403 to a script, but fine in a browser",
KNDS (KMW+Nexter),Defense & Aerospace,https://www.knds.com/career/,BROKEN,"404 — URL is wrong, needs replacing",
Kongsberg Gruppen,Defense & Aerospace,https://www.kongsberg.com/careers/,WORKING,"fine, but JavaScript-rendered — use --browser",
L3Harris,Defense & Aerospace,https://careers.l3harris.com,WORKING,"fine, but JavaScript-rendered — use --browser",
Leonardo DRS,Defense & Aerospace,https://www.leonardodrs.com/careers/,WORKING,"403 to a script, but fine in a browser",
Leonardo S.p.A.,Defense & Aerospace,https://www.leonardo.com/en/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
Lockheed Martin,Defense & Aerospace,https://www.lockheedmartinjobs.com,WORKING,"fine, but JavaScript-rendered — use --browser",
MBDA,Defense & Aerospace,https://www.mbda-careers.com,BROKEN,domain did not resolve (may be local DNS overload — recheck),
MBDA Italia,Defense & Aerospace,https://www.mbda-careers.com,BROKEN,domain did not resolve (may be local DNS overload — recheck),
Nammo,Defense & Aerospace,https://www.nammo.com/career/,WORKING,"fine, but JavaScript-rendered — use --browser",
Naval Group,Defense & Aerospace,https://careers.naval-group.com,BROKEN,domain did not resolve (may be local DNS overload — recheck),
Navantia,Defense & Aerospace,https://www.navantia.es/en/talent/,BROKEN,"404 — URL is wrong, needs replacing",
Nexter Robotics,Defense & Aerospace,https://www.knds.com/career/,SUSPECT,timed out,
Northrop Grumman,Defense & Aerospace,https://www.northropgrumman.com/jobs,WORKING,"fine, but JavaScript-rendered — use --browser",
PGZ - Polska Grupa Zbrojeniowa,Defense & Aerospace,https://pgzsa.pl/kariera,WORKING,"fine, but JavaScript-rendered — use --browser",
Patria,Defense & Aerospace,https://www.patriagroup.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
QinetiQ,Defense & Aerospace,https://careers.qinetiq.com,WORKING,"fine, runs on successfactors (no connector yet)",
RTX (Raytheon),Defense & Aerospace,https://careers.rtx.com,WORKING,"fine, but JavaScript-rendered — use --browser",
RUAG MRO,Defense & Aerospace,https://www.ruag.ch/en/careers,BROKEN,"404 — URL is wrong, needs replacing",
RWM Italia / Rheinmetall Italia,Defense & Aerospace,https://www.rheinmetall.com/en/career,WORKING,"fine, but JavaScript-rendered — use --browser",
Rafael Advanced Defense Systems,Defense & Aerospace,https://www.rafael.co.il/careers/,SUSPECT,HTTP 247,
Rheinmetall,Defense & Aerospace,https://www.rheinmetall.com/en/career,WORKING,"fine, but JavaScript-rendered — use --browser",
Rohde & Schwarz,Defense & Aerospace,https://www.rohde-schwarz.com/careers,WORKING,"fine, but JavaScript-rendered — use --browser",
